Provider,PotentialFraud,InpatientClaimCount,UniqueInpatientBeneficiaries,AvgInpatientReimbursement,TotalInpatientReimbursement,AvgLengthOfStay,MaxLengthOfStay,AvgDiagnosisCount,OutpatientClaimCount,UniqueOutpatientBeneficiaries,AvgOutpatientReimbursement,TotalOutpatientReimbursement,AvgPatientAge,AvgChronicConditions,DeceasedRate,AvgIPAnnualReimbursement,AvgOPAnnualReimbursement,UniqueBeneficiaries,Fraud
PRV51001,No,5.0,5.0,19400.0,97000.0,5.0,14.0,7.2,20.0,19.0,382.0,7640.0,78.125,5.541666666666667,0.0,18047.916666666668,2537.5,24,0
PRV51003,Yes,62.0,53.0,9241.935483870968,573000.0,5.161290322580645,27.0,8.112903225806452,70.0,66.0,466.7142857142857,32670.0,68.95726495726495,4.367521367521367,0.008547008547008548,6814.017094017094,2490.5982905982905,117,1
PRV51004,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,138.0,350.13422818791946,52170.0,72.48550724637681,4.318840579710145,0.007246376811594203,4596.739130434783,2095.144927536232,138,0
PRV51005,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,495.0,241.1244635193133,280910.0,69.98787878787878,3.8848484848484848,0.006060606060606061,3717.2323232323233,1798.8080808080808,495,1
PRV51007,No,3.0,3.0,6333.333333333333,19000.0,5.333333333333333,7.0,7.333333333333333,69.0,56.0,213.18840579710144,14710.0,67.98275862068965,3.8793103448275863,0.017241379310344827,3109.655172413793,1497.2413793103449,58,0
PRV51008,No,2.0,2.0,12500.0,25000.0,4.0,5.0,7.5,41.0,34.0,259.2682926829268,10630.0,74.66666666666667,4.083333333333333,0.0,7235.0,2624.722222222222,36,0
PRV51011,No,1.0,1.0,5000.0,5000.0,5.0,5.0,8.0,57.0,52.0,204.03508771929825,11630.0,73.16981132075472,4.528301886792453,0.018867924528301886,3774.3396226415093,1434.1509433962265,53,0
PRV51012,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,351.875,16890.0,75.54838709677419,4.387096774193548,0.0,4785.4838709677415,2440.3225806451615,31,0
PRV51013,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,44.0,323.4782608695652,14880.0,74.0909090909091,4.386363636363637,0.0,3800.909090909091,3260.2272727272725,44,0
PRV51014,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,349.3333333333333,10480.0,71.84,4.0,0.04,2703.6,1667.2,25,0
PRV51015,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,87.5,700.0,71.85714285714286,6.571428571428571,0.0,1355.7142857142858,1550.0,7,0
PRV51016,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,28.333333333333332,170.0,70.5,5.5,0.0,0.0,878.3333333333334,6,0
PRV51017,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,420.0,277.126213592233,142720.0,72.27142857142857,4.247619047619048,0.011904761904761904,3225.1428571428573,2224.0238095238096,420,0
PRV51021,Yes,29.0,23.0,9275.862068965518,269000.0,4.758620689655173,17.0,8.517241379310345,228.0,187.0,350.13157894736844,79830.0,73.27403846153847,4.461538461538462,0.004807692307692308,4290.961538461538,2387.980769230769,208,1
PRV51023,No,9.0,9.0,6000.0,54000.0,3.5555555555555554,10.0,8.0,27.0,27.0,430.0,11610.0,72.34285714285714,4.428571428571429,0.0,5358.0,2529.714285714286,35,0
PRV51024,No,9.0,9.0,6777.777777777777,61000.0,4.333333333333333,10.0,7.111111111111111,30.0,29.0,101.66666666666667,3050.0,67.71052631578948,4.7631578947368425,0.0,4686.8421052631575,1993.9473684210527,38,0
PRV51025,No,13.0,12.0,6615.384615384615,86000.0,7.0,28.0,7.769230769230769,74.0,66.0,437.1621621621622,32350.0,73.22368421052632,4.328947368421052,0.0,3968.2894736842104,2224.342105263158,76,0
PRV51026,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,56.0,261.05263157894734,19840.0,69.0,4.053571428571429,0.017857142857142856,4057.6785714285716,1787.857142857143,56,0
PRV51027,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,44.0,563.0188679245283,29840.0,71.77272727272727,4.659090909090909,0.022727272727272728,4899.318181818182,3208.8636363636365,44,0
PRV51029,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,79.0,329.6774193548387,30660.0,70.92405063291139,3.7721518987341773,0.012658227848101266,3116.4556962025317,1668.4810126582279,79,0
PRV51030,No,82.0,71.0,8604.878048780487,705600.0,4.621951219512195,23.0,8.097560975609756,89.0,78.0,383.82022471910113,34160.0,71.32413793103449,4.696551724137931,0.013793103448275862,6787.310344827586,2338.0,145,0
PRV51031,No,28.0,26.0,11750.0,329000.0,5.535714285714286,18.0,8.392857142857142,157.0,135.0,195.6687898089172,30720.0,72.54140127388536,4.821656050955414,0.006369426751592357,5933.4394904458595,1870.1910828025477,157,0
PRV51032,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,235.65217391304347,5420.0,70.61904761904762,4.571428571428571,0.047619047619047616,8060.952380952381,1400.0,21,0
PRV51035,No,1.0,1.0,29000.0,29000.0,14.0,14.0,9.0,29.0,24.0,122.75862068965517,3560.0,74.64,4.64,0.0,3342.4,1382.4,25,0
PRV51036,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,131.0,269.3525179856115,74880.0,71.68702290076335,3.877862595419847,0.0,4890.839694656489,1415.1145038167938,131,0
PRV51037,Yes,23.0,21.0,9304.347826086956,214000.0,4.565217391304348,17.0,8.043478260869565,431.0,202.0,297.51740139211137,128230.0,71.49029126213593,4.145631067961165,0.014563106796116505,3398.3980582524273,1440.6796116504854,206,1
PRV51038,No,30.0,26.0,7653.333333333333,229600.0,4.033333333333333,24.0,7.3,111.0,83.0,323.3333333333333,35890.0,70.97196261682242,4.672897196261682,0.009345794392523364,5329.719626168225,1824.392523364486,107,0
PRV51040,No,9.0,8.0,7000.0,63000.0,10.555555555555555,33.0,7.777777777777778,77.0,62.0,148.96103896103895,11470.0,71.07246376811594,4.086956521739131,0.014492753623188406,7824.927536231884,2255.217391304348,69,0
PRV51041,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,217.94117647058823,7410.0,69.96774193548387,4.032258064516129,0.0,1506.4516129032259,2292.2580645161293,31,0
PRV51042,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,128.0,338.38028169014086,48050.0,73.015625,3.96875,0.0,4862.109375,2450.15625,128,0
PRV51043,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,194.7826086956522,4480.0,72.8,4.4,0.0,2987.5,1670.0,20,0
PRV51044,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,39.0,361.52542372881356,21330.0,69.82051282051282,4.230769230769231,0.0,2498.974358974359,2469.74358974359,39,0
PRV51045,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,29.0,270.64516129032256,8390.0,71.37931034482759,4.275862068965517,0.0,3965.1724137931033,2008.2758620689656,29,0
